"","year","month","date","evaporation _sum","2m_temperature _max","2m_temperature _min","surface_net_solar_radiation _sum","surface_pressure _mean","total_precipitation _sum","10m_component_of_wind"
"3146",1998,8,12,-0.00213619756686967,301.269775390625,297.194580078125,4940543.78515625,95148.59375,0.011884590232512,13.6077416274035
"3147",1998,8,13,-0.00146539008346735,300.39599609375,296.91796875,2912537.25390625,95234.1614583333,0.0218559236236615,14.5784265456369
"3148",1998,8,14,-0.00199282747053076,300.197021484375,297.482421875,5369164.609375,95403.1302083333,0.00583553218348243,15.0344571459028
"3149",1998,8,15,-0.00127797526056384,300.77880859375,297.10546875,3996761.22412109,95581.3020833333,0.000680351255596179,10.1109482047307
"3150",1998,8,16,-0.00385118759731995,303.429931640625,297.3447265625,13928498.8710938,95696.1953125,0.00198869652973599,15.8352845976631
"3151",1998,8,17,-0.00421540256684239,303.525634765625,297.259521484375,15160062.4335938,95579.671875,0.00108928675228981,18.0905273749291
"3152",1998,8,18,-0.00382593471204018,303.526123046875,297.23046875,13799911.5351562,95614.6848958333,0.000629806448841919,11.8727863570447
"3153",1998,8,19,-0.00385811029082106,303.778076171875,297.842529296875,14899021.8710938,95610.2916666667,0.000633716481388547,5.45207460123695
"3154",1998,8,20,-0.00379963980321918,305.331298828125,297.8984375,14086682.1225586,95498.5572916667,0.000352573330872019,4.16865714482008
"3155",1998,8,21,-0.00346840946349403,304.36865234375,297.96923828125,13293286.7866211,95511.5338541667,0.000338745081762681,2.53837007539276
"3156",1998,8,22,-0.00381850172044551,304.84619140625,297.9033203125,14936921.4599609,95575.5208333333,0.00422515857007966,2.87870191754282
"3157",1998,8,23,-0.004283855880999,305.979248046875,298.68017578125,17063129.1101074,95613.1276041667,0.00133695557371993,2.05587880272824
"3158",1998,8,24,-0.00456209512998385,306.42822265625,298.24462890625,17495193.2866211,95569.2083333333,0.00360040653112037,2.64759731355363
"3159",1998,8,25,-0.00487508860442176,305.23583984375,297.51123046875,18499955.8999023,95438.1458333333,0.00189523676039016,3.49117252347991
"3160",1998,8,26,-0.00353253602315817,304.486328125,297.83203125,12730264.4226074,95417.6223958333,0.00316591257586651,4.65053156900619
"3161",1998,8,27,-0.00420747008593025,304.91064453125,297.849853515625,15254348.8366699,95514.7578125,0.0023429870522591,6.50146172475193
"3162",1998,8,28,-0.00368126037483307,303.011962890625,297.7470703125,12833395.671875,95611.8671875,0.0023483272191811,16.1776459359511
"3163",1998,8,29,-0.00404499998694519,302.455810546875,297.87158203125,14196289.123291,95503.7890625,0.00152683227042871,18.9864180730272
"3164",1998,8,30,-0.0026350050320616,303.1630859375,297.16064453125,8922060.33422852,95453.7161458333,0.000411415035159735,18.2502419683372
"3165",1998,8,31,-0.00370262123669818,304.007080078125,297.407470703125,13608333.4492188,95550.0963541667,0.00121173829870713,11.8556170505906
"3166",1998,9,1,-0.00411364865067299,304.737548828125,297.229248046875,15758219.9867249,95612.6328125,0.000352573328598282,8.20403031495713
"3167",1998,9,2,-0.00430844413767772,304.7392578125,296.764404296875,16211661.4609375,95689.0885416667,0.00025987617584633,8.8748940973159
"3168",1998,9,3,-0.00455385404620756,303.676025390625,296.939453125,18080883.6484375,95780.3125,0.000895690669665328,5.96454188617308
"3169",1998,9,4,-0.00463912362010888,305.97802734375,297.81787109375,17748326.734375,95797.0286458333,0.000212192512663023,10.1053755397429
"3170",1998,9,5,-0.00394135605455403,306.150390625,298.450439453125,15617100.2851562,95716.5755208333,0.000560474246924514,6.34171198851497
"3171",1998,9,6,-0.00412398626775712,306.08740234375,297.056396484375,16512997.671875,95598.1614583333,0.000328063841152471,6.53482882303535
"3172",1998,9,7,-0.00444954305294232,304.853759765625,297.21826171875,17407141.625,95496.78125,0.000181674918678709,8.75251105203687
"3173",1998,9,8,-0.00349509763577771,302.854736328125,296.9296875,12976934.5234375,95543.2317708333,0.0125543545264009,9.37761129503012
"3174",1998,9,9,-0.00389401497795916,304.5439453125,297.2900390625,14949364.4726562,95541.0989583333,0.00116081219749731,8.03659591116828
"3175",1998,9,10,-0.00435548611494596,304.30810546875,296.291259765625,16129152.5,95416.8072916667,0.00039510719966529,23.9894763002993
"3176",1998,9,11,-0.00431265607949172,304.947998046875,296.78759765625,16833036.8867188,95357.7942708333,0.000852870851474563,28.2799605917357
"3177",1998,9,12,-0.0033889943451868,303.16845703125,296.906005859375,12086733.0351562,95293.2109375,0.00639467121618509,23.959946508609
"3178",1998,9,13,-0.00299399878713302,301.3056640625,297.080810546875,8126002.40625,95099.4088541667,0.00921239659783168,14.1750805077775
"3179",1998,9,14,-0.00227812070716027,301.428955078125,295.72900390625,5061222.1015625,94769.4869791667,0.0148345930792857,24.8054974509454
"3180",1998,9,15,-0.00207269014754274,301.275634765625,296.61279296875,5526822.18261719,94818.3463541667,0.00515127090875467,14.4019588796024
"3181",1998,9,16,-0.00219013905734755,300.376220703125,297.14111328125,6513048.67407227,95184.3567708333,0.00158452959152555,25.75195304083
"3182",1998,9,17,-0.00416737125487998,304.551025390625,296.750732421875,15492990.2617188,95517.8151041667,0.000775146331420729,18.3263838858089
"3183",1998,9,18,-0.0039350689658022,304.041748046875,296.839599609375,15171852.4375,95641.7421875,0.000784969249252754,4.98744015384114
"3184",1998,9,19,-0.00367405958695599,304.9541015625,297.470947265625,14799834.875,95604.9557291667,0.000701999594753033,1.97085508656088
"3185",1998,9,20,-0.00383706514242022,303.154052734375,296.583740234375,14621350.2460938,95573.40625,0.00806751167152697,4.18775709450302
"3186",1998,9,21,-0.00323399393369073,304.557373046875,296.835205078125,12135052.0703125,95561.4973958333,0.0083066933293594,0.605682654868221
"3187",1998,9,22,-0.00306832173737348,303.050537109375,296.93994140625,10621836.4804688,95578.671875,0.0226378400216163,2.36437603934431
"3188",1998,9,23,-0.00236190747796172,302.550048828125,296.7529296875,8435647.84375,95741.2630208333,0.00211725232747995,11.3685826150546
"3189",1998,9,24,-0.00390761741419965,304.797607421875,296.71240234375,15505702.4453125,95935.4713541667,0.0013219831739093,7.35955073667966
"3190",1998,9,25,-0.00375335912644914,303.085693359375,296.757568359375,15688883.0976562,96027.6432291667,0.000409603052503371,1.78481606148015
"3191",1998,9,26,-0.00397985518998212,304.762451171875,296.552001953125,15608383.484375,96005.5364583333,0.00343131976842415,3.10975058598936
"3192",1998,9,27,-0.00424630396738124,305.742919921875,297.368408203125,16874995.5234375,95945.6328125,0.00212459543490695,4.72121205762937
"3193",1998,9,28,-0.00445832753166542,306.3720703125,297.32275390625,17797632.6601562,95950.5416666667,0.000226592987019103,3.00954974990569
"3194",1998,9,29,-0.00427946442835037,306.599365234375,297.97216796875,16719540.296875,95877.609375,0.000486945988086518,2.62219291355247
"3195",1998,9,30,-0.00434158330493872,305.958740234375,297.6826171875,16989939.1601562,95820.1223958333,0.000465869766458127,2.51779418239927
"3196",1998,10,1,-0.00403621724973391,306.110595703125,295.99267578125,16261785.4960938,95854.1145833333,0.000249004336183134,2.86579462627468
"3197",1998,10,2,-0.00424026797652033,305.627685546875,295.847412109375,17292890.2578125,95842.7604166667,1.94549402294797e-05,4.69756599510657
"3198",1998,10,3,-0.00418158428271909,305.666015625,295.701171875,17522304.3242188,95788.2369791667,1.90734886018618e-06,3.96334938197415
"3199",1998,10,4,-0.00412552448261749,306.181640625,295.2529296875,17031962.1328125,95908.3307291667,0.000223064361307479,6.07295560369623
"3200",1998,10,5,-0.0040717685348568,305.56689453125,295.227294921875,18157864.0585938,95979.1145833333,0,5.21134104829071
"3201",1998,10,6,-0.00340989057713159,305.206787109375,295.617431640625,15576753.921875,95953.8854166667,6.13212314419798e-05,2.71846786578294
"3202",1998,10,7,-0.00340949097375187,305.949462890625,296.87890625,15367537.8476562,95957.6380208333,8.91685413080268e-05,2.50431473331305
"3203",1998,10,8,-0.00348571932238428,306.426513671875,296.004150390625,15864512.0703125,95935.3333333333,0.000561284885407076,2.0375096308883
"3204",1998,10,9,-0.00358752214833657,307.06201171875,297.0390625,16979815.03125,95897.9947916667,2.02178953259136e-05,1.86786742475165
"3205",1998,10,10,-0.00343148885622213,306.94384765625,297.9013671875,16374719.4453125,95895.1458333333,0.00033998475515773,3.84485281191489
"3206",1998,10,11,-0.00323574125559389,306.58251953125,297.889892578125,15103974.046875,95896.3541666667,0.00104312858820776,6.28559871854352
"3207",1998,10,12,-0.00314458520188055,306.928955078125,297.76708984375,15308786.7070312,95984.6484375,0.00148773174623784,6.35233018301645
"3208",1998,10,13,-0.00309918535094766,306.8974609375,297.418212890625,15646170.421875,96019.1041666667,0.00089120860826597,5.05043210840589
"3209",1998,10,14,-0.00306216405806481,305.7568359375,297.055908203125,13614796.2233887,95810.5052083333,0.00636196009781997,4.89780822182908
"3210",1998,10,15,-0.00310860517129186,305.369384765625,296.56103515625,15431692.7365723,95565.7786458333,0.00224046667244693,6.47459457277016
"3211",1998,10,16,-0.00287204289361398,304.483154296875,296.84814453125,14422067.873291,95704.1067708333,0.000590324341828818,4.73871775479616
"3212",1998,10,17,-0.00328363834069023,304.771728515625,296.92041015625,16401202.4733887,95755.9505208333,0.000177860206349578,12.6553669634825
"3213",1998,10,18,-0.00169511038984638,299.549560546875,292.81396484375,4332722.77490234,95669.4192708333,0.00395917782134347,20.6824772465536
"3214",1998,10,19,-0.00270466331312491,302.597412109375,290.731689453125,13625613.3466797,95831.1432291667,0,9.97175318422071
"3215",1998,10,20,-0.00204763678539166,302.6435546875,291.34033203125,10118092.3996582,95954.9791666667,9.53674259562831e-07,4.37560521203916
"3216",1998,10,21,-0.0022525461818077,303.07763671875,293.44140625,11580338.3999023,96010.5729166667,1.90734908755985e-07,4.16325201865895
"3217",1998,10,22,-0.00266498864766618,304.506591796875,294.170166015625,14542463.9248047,96045.1536458333,0,4.08569913151276
"3218",1998,10,23,-0.00182878341183823,303.985107421875,296.212890625,8964223.56225586,96103.046875,0,5.27896216182577
